"user_id","mode","IS_id","vendor_id","address_id","created_at","updated_at"
"2","vendor","3","1",NULL,"2021-05-18 10:52:31","2021-05-19 04:29:49"
"3","vendor","1","1","379","2021-05-12 05:46:57","2021-05-18 03:05:37"
"27","vendor","0","27",NULL,NULL,"2021-05-19 04:29:49"
"28","vendor","0","28",NULL,NULL,"2021-05-19 04:29:49"
"29","vendor","0","29",NULL,NULL,"2021-05-19 04:29:49"
"33","vendor","1","1",NULL,NULL,"2021-05-19 04:29:49"
"34","vendor","3","1","379",NULL,"2021-05-19 11:46:24"
"35","vendor","3","1",NULL,NULL,"2021-05-19 04:35:43"
"36","vendor","3","1",NULL,NULL,"2021-05-19 04:35:44"
"37","vendor","3","1",NULL,NULL,"2021-05-19 04:35:44"
"38","vendor","3","1",NULL,NULL,"2021-05-19 04:35:44"
"39","vendor","33","1",NULL,NULL,NULL
"40","vendor","33","1",NULL,NULL,NULL
"41","vendor","33","1",NULL,NULL,NULL
"42","vendor","33","1",NULL,NULL,NULL
"43","vendor","33","1",NULL,NULL,NULL
"45",NULL,NULL,NULL,"1080","2021-05-21 05:51:08","2021-05-24 12:32:08"
"46","VENDOR",NULL,"30",NULL,"2021-05-24 16:20:06",NULL
"47",NULL,NULL,NULL,"379","2021-05-24 16:30:54","2021-05-24 16:30:54"
"48","VENDOR",NULL,"31",NULL,"2021-05-25 05:34:26",NULL
"49","VENDOR",NULL,"32",NULL,"2021-05-25 05:41:03",NULL
"50","VENDOR",NULL,"33",NULL,"2021-05-25 06:34:13",NULL
"51",NULL,NULL,NULL,"395","2021-05-25 08:46:49","2021-05-25 08:46:50"
"52","VENDOR",NULL,"1",NULL,"2021-05-25 11:39:14",NULL
