"province_id","province_name","region_id","sam_region_id"
"1","BASILAN","1","1"
"2","LANAO DEL SUR","1","1"
"3","MAGUINDANAO","1","1"
"4","SULU","1","1"
"5","TAWI-TAWI","1","1"
"6","ALBAY","2","4"
"7","CAMARINES NORTE","2","4"
"8","CAMARINES SUR","2","4"
"9","CATANDUANES","2","4"
"10","MASBATE","2","4"
"11","SORSOGON","2","4"
"12","BATANES","3","3"
"13","CAGAYAN","3","3"
"14","ISABELA","3","3"
"15","NUEVA VIZCAYA","3","3"
"16","QUIRINO","3","3"
"17","BATANGAS","4","4"
"18","CAVITE","4","4"
"19","LAGUNA","4","4"
"20","QUEZON","4","4"
"21","ABRA","5","3"
"22","APAYAO","5","3"
"23","BENGUET","5","3"
"24","IFUGAO","5","3"
"25","KALINGA","5","3"
"26","MOUNTAIN PROVINCE","5","3"
"27","AGUSAN DEL NORTE","6","1"
"28","AGUSAN DEL SUR","6","1"
"29","DINAGAT ISLANDS","6","1"
"30","SURIGAO DEL NORTE","6","1"
"31","SURIGAO DEL SUR","6","1"
"32","AURORA","7","3"
"33","BATAAN","7","3"
"34","BULACAN","7","3"
"35","NUEVA ECIJA","7","3"
"36","PAMPANGA","7","3"
"37","TARLAC","7","3"
"38","ZAMBALES","7","3"
"39","BOHOL","8","5"
"40","CEBU","8","5"
"41","NEGROS ORIENTAL","8","5"
"42","SIQUIJOR","8","5"
"43","DAVAO DE ORO (COMPOSTELA VALLEY)","9","1"
"44","DAVAO DEL NORTE","9","1"
"45","DAVAO DEL SUR","9","1"
"46","DAVAO OCCIDENTAL","9","1"
"47","DAVAO ORIENTAL","9","1"
"48","BILIRAN","10","5"
"49","EASTERN SAMAR","10","5"
"50","LEYTE","10","5"
"51","NORTHERN SAMAR","10","5"
"52","SAMAR (WESTERN SAMAR)","10","5"
"53","SOUTHERN LEYTE","10","5"
"54","ILOCOS NORTE","11","3"
"55","ILOCOS SUR","11","3"
"56","LA UNION","11","3"
"57","PANGASINAN","11","3"
"58","MANILA","12","2"
"59","METRO MANILA","13","2"
"60","MARINDUQUE","14","4"
"61","OCCIDENTAL MINDORO","14","4"
"62","ORIENTAL MINDORO","14","4"
"63","PALAWAN","14","4"
"64","ROMBLON","14","4"
"65","BUKIDNON","15","1"
"66","CAMIGUIN","15","1"
"67","LANAO DEL NORTE","15","1"
"68","MISAMIS OCCIDENTAL","15","1"
"69","MISAMIS ORIENTAL","15","1"
"70","RIZAL","16","2"
"71","COTABATO (NORTH COTABATO)","17","1"
"72","SARANGANI","17","1"
"73","SOUTH COTABATO","17","1"
"74","SULTAN KUDARAT","17","1"
"75","AKLAN","18","5"
"76","ANTIQUE","18","5"
"77","CAPIZ","18","5"
"78","GUIMARAS","18","5"
"79","ILOILO","18","5"
"80","NEGROS OCCIDENTAL","18","5"
"81","ZAMBOANGA DEL NORTE","19","1"
"82","ZAMBOANGA DEL SUR","19","1"
"83","ZAMBOANGA SIBUGAY","19","1"
